long, lat, eventNumber
169.078,-78.412,73616383
168.119,-78.275,73616386
168.029,-78.2906,73616922
168.23,-78.2511,73616984
168.321,-78.2325,73617025
168.306,-78.2355,73617026
169.049,-78.4156,73617029
168.23,-78.2509,73617034
168.253,-78.2452,73617252
168.097,-78.2751,73617594
169.08,-78.4061,73617663
168.126,-78.2694,73617674
168.233,-78.2479,73617676
169.035,-78.4152,73617677
168.296,-78.2348,73617697
167.732,-78.0894,73617720
168.942,-78.4318,73618109
169.044,-78.4099,73618342
170.342,-78.6716,73618343
168.228,-78.2461,73618345
169.146,-78.3887,73618364
169.067,-78.405,73618365
167.578,-78.0844,73618366
168.236,-78.2445,73618367
168.113,-78.2686,73618434
168.967,-78.4236,73618685
168.14,-78.2607,73619102
168.761,-78.4606,73619392
167.965,-78.2919,73619846
168.886,-78.4343,73619852
168.975,-78.4162,73619893
168.935,-78.4242,73619903
164.371,-77.2703,73726813
168.043,-78.0164,73726962
168.39,-78.2883,73727192
164.29,-77.3534,73738134
168.461,-78.193,73738185
169.699,-78.3787,73738265
164.049,-77.4025,73738687
167.736,-78.0008,73741869
168.085,-78.2533,73741929
164.489,-77.2959,73741967
163.887,-77.4243,73744657
168.343,-78.1921,73744663
167.647,-78.0244,73744690
163.476,-77.1539,73744698
167.181,-78.1303,73744699
164.058,-77.3895,73744727
164.26,-77.3467,73744729
168.848,-78.5563,73744776
163.537,-77.2233,73744785
168.13,-78.2471,73744805
167.693,-78.0138,73744812
163.636,-77.2891,73744841
168.127,-78.2482,73744848
163.131,-77.2124,73744889
169.535,-78.3814,73744987
163.659,-77.198,73745057
163.701,-77.3667,73745069
163.789,-77.3489,73745099
164.197,-77.361,73745101
164.702,-77.3562,73745179
164.085,-77.287,73745201
164.397,-77.3177,73745262
167.725,-78.0086,73745263
163.299,-77.4404,73745272
164.434,-77.5277,73745291
167.641,-78.0294,73745329
164.393,-77.4245,73745377
164.163,-77.3688,73745392
163.98,-77.2164,73745401
164.917,-77.5472,73745414
167.743,-78.0051,73745457
167.997,-78.2836,73745482
162.827,-77.067,73745510
164.964,-77.6694,73745520
167.995,-78.2843,73745535
168.179,-78.2403,73745582
164.724,-77.7181,73745606
168.341,-78.1998,73745607
164.391,-77.3198,73745626
164.395,-77.3189,73745679
167.186,-78.1342,73745707
169.7,-78.3453,73745716
167.187,-78.1341,73745730
164.341,-77.4365,73745769
167.177,-78.1377,73745825
169.701,-78.3464,73745831
164.06,-77.6029,73745855
167.192,-78.1338,73745906
169.639,-78.3653,73745933
167.678,-78.0242,73745983
163.261,-77.1041,73754313
164.75,-77.3233,73754579
167.278,-78.0769,73755036
168.203,-77.842,73755143
164.95,-77.1637,73755216
164.411,-77.095,73755306
163.76,-77.0735,73755911
169.622,-78.2989,73755912
169.622,-78.2994,73755975
163.526,-76.9696,73755984
168.549,-78.1014,73756142
163.953,-77.2971,73756182
164.398,-77.1965,73756273
164.19,-77.245,73756290
164.074,-77.271,73756309
136.608,-75.6725,75543698
122.991,-75.3025,77157277
123.543,-74.7804,77157282
122.92,-75.2594,77157285
122.667,-75.4952,77157291
123.211,-75.1964,77157297
123.467,-74.8807,77157317
123.447,-75.051,77157320
122.962,-75.2309,77157329
123.549,-74.7005,77157332
123.063,-75.2536,77173399
123.274,-75.2764,77173413
123.301,-75.1274,77173424
123.879,-74.6811,77208752
123.231,-75.2047,77246109
122.911,-75.095,77246112
123.13,-75.1825,77256251
123.184,-75.2329,77291583
123.265,-74.8933,77326530
123.472,-74.9327,77395064
123.291,-75.1573,77395073
123.434,-74.9842,77395081
123.209,-75.1761,77395085
123.322,-75.0953,77395086
123.334,-75.1374,77395113
123.19,-75.2617,77409219
123.279,-75.0948,77441431
123.163,-75.3242,77456685
123.472,-75.2294,77462897
123.321,-75.1729,77488145
123.219,-75.2534,77488149
123.351,-75.2544,77488150
123.187,-75.0273,77488153
123.337,-75.0138,77529784
123.386,-75.1888,77530109
123.297,-74.9832,77530118
123.351,-75.0977,77530653
123.359,-75.1892,77530745
123.338,-75.0979,77530756
123.193,-75.0986,77530913
123.389,-75.0812,77532635
123.418,-75.0982,77532657
123.017,-75.2004,77564486
123.237,-75.1477,77581496
123.218,-75.0528,77585656
123.314,-74.9458,77592199
123.304,-75.1475,77621874
123.366,-75.1796,77627815
123.456,-75.1458,77829071
123.191,-75.0423,77886582
123.075,-75.0681,77887769
123.207,-75.236,77897334
123.27,-75.3,77897488
123.486,-75.216,78085264
121.727,-74.5273,78100957
123.274,-75.0974,78195347
123.369,-75.151,78216455
123.909,-75.2901,78216461
123.414,-75.1851,78216466
122.981,-74.9231,78255716
126.538,-76.3115,78418007
124.882,-75.8145,78418144
123.477,-75.1735,78418429
123.555,-75.22,78418433
123.664,-75.2345,78428809
108.697,-75.844,80436592
106.521,-73.3539,80436593
91.018,-71.0367,83670528
