long, lat, eventNumber
-82.7526,-79.7455,52797981
-82.834,-79.7433,52797984
-82.8609,-79.7884,52798011
-82.8766,-79.7059,52798013
-82.9387,-79.7773,52798035
-82.9423,-79.7942,52798036
-82.7924,-79.7705,52798040
-83.1072,-79.7937,52798043
-83.0962,-79.8029,52798065
-83.0854,-79.8032,52798070
-82.8831,-79.7888,52798078
-82.9706,-79.7861,52798094
-82.7831,-79.7448,52798130
-82.898,-79.7416,52798386
-83.0015,-79.7478,52798414
-83.0568,-79.6656,52798475
-82.9892,-79.7525,52801365
-86.0293,-78.566,52811348
-86.2323,-78.5784,52811585
-85.9156,-78.501,52814699
-85.9217,-78.4986,52814713
-82.8928,-79.7175,52827006
-82.7726,-79.7643,52827013
-82.8841,-79.6642,52827174
-82.9689,-79.6719,52827471
-83.2852,-79.7434,52827625
-83.0157,-79.7067,52827804
-85.8317,-78.5215,52837088
-86.0863,-78.5378,52837722
-86.0468,-78.5269,52850358
-86.1106,-78.5373,52850630
-86.0731,-78.5483,52852570
-82.9359,-79.7877,52885573
-83.0187,-79.7104,52885618
-82.9749,-79.8277,52885632
-82.78,-79.7144,52885647
-82.9791,-79.7974,52885654
-83.0486,-79.7893,52885670
-83.0564,-79.7097,52885672
-82.7442,-79.7574,52885674
-82.9679,-79.8159,52885676
-82.8963,-79.7468,52885678
-82.9688,-79.8278,52885705
-82.9443,-79.8166,52885710
-82.7681,-79.7937,52885717
-82.9804,-79.7195,52885718
-82.9651,-79.7714,52885739
-82.8831,-79.7964,52885746
-82.7381,-79.6811,52885749
-82.8201,-79.7915,52885752
-82.8764,-79.7723,52885764
-82.9988,-79.7802,52885765
-82.97,-79.7032,52885766
-83.1569,-79.9086,52885773
-82.8364,-79.7556,52885797
-83.0723,-79.7888,52885810
-83.0382,-79.7895,52885811
-83.1521,-79.6986,52885812
-82.9512,-79.7035,52885826
-82.9854,-79.8251,52885832
-82.8918,-79.7637,52885836
-82.7669,-79.774,52885858
-82.7714,-79.774,52885878
-82.9102,-79.791,52885903
-82.8688,-79.7473,52885914
-82.9753,-79.745,52885915
-83.1057,-79.7423,52885919
-82.7878,-79.8375,52885934
-83.0697,-79.7615,52885959
-83.0807,-79.7428,52885971
-82.9899,-79.7448,52885974
-82.6328,-79.6082,52885975
-83.0006,-79.7109,52885986
-82.9824,-79.8252,52885991
-83.0275,-79.7987,52885992
-83.0723,-79.7889,52885995
-82.8829,-79.8214,52885997
-82.8788,-79.7471,52886002
-82.8242,-79.7915,52886005
-82.9953,-79.7632,52886006
-82.8577,-79.791,52886007
-82.8698,-79.782,52886011
-82.9796,-79.8277,52886014
-82.7952,-79.8116,52886029
-83.0118,-79.7714,52886041
-82.8852,-79.7552,52886042
-82.9233,-79.7721,52886071
-82.9309,-79.9098,52886085
-82.9444,-79.7458,52886109
-83.05,-79.7438,52886116
-83.1101,-79.8118,52886121
-82.9338,-79.763,52886132
-82.8675,-79.7821,52886134
-83.1072,-79.8118,52886138
-82.7595,-79.715,52886148
-82.8114,-79.8132,52886149
-82.9202,-79.7462,52886161
-82.9905,-79.7973,52886163
-82.9188,-79.7552,52886203
-82.9125,-79.7634,52886216
-82.9891,-79.7449,52886292
-82.9727,-79.8279,52886315
-82.8942,-79.747,52886373
-82.9869,-79.745,52886412
-82.8205,-79.7917,52886452
-83.1155,-79.8118,52886457
-82.9762,-79.8279,52886461
-82.9146,-79.6318,52886463
-82.9957,-79.7449,52886467
-82.9911,-79.8277,52886479
-82.6734,-79.7522,52886487
-83.012,-79.826,52886508
-82.9678,-79.8281,52886518
-83.0401,-79.7897,52886522
-82.9744,-79.7984,52886537
-82.8607,-79.7912,52886575
-83.1511,-79.7882,52886624
-83.0054,-79.7193,52886627
-82.6435,-79.6676,52886641
-82.8709,-79.7475,52886643
-83.0549,-79.7984,52886678
-82.9253,-79.7817,52886739
-82.9012,-79.7966,52887047
-83.0884,-79.7896,52887159
-82.8432,-79.8272,52887213
-85.8913,-78.5131,52907155
-86.0264,-78.5239,52907379
-85.7939,-78.5302,52907440
-85.9935,-78.52,52907533
-85.9068,-78.5187,52907566
-85.8847,-78.5318,52908996
-86.0493,-78.5254,52910410
-85.8876,-78.5628,52910636
-82.568,-79.6529,52936555
-82.7623,-79.7391,52939493
-85.8232,-78.5445,53035112
-85.9212,-78.56,53036942
-85.8655,-78.5147,53037764
-86.0429,-78.5413,53037933
-82.8803,-79.7133,53064600
-82.8393,-79.7151,53088692
-82.9671,-79.7904,53090735
-83.0861,-79.7849,53090737
-82.8587,-79.7467,53091687
-82.9472,-79.6967,53185969
-82.5471,-79.6741,53233348
-85.8997,-78.5257,53248910
-82.9897,-79.7836,53280665
-85.9001,-78.5374,53311598
-85.8751,-78.5336,53311620
-82.682,-79.7313,53333759
-82.8582,-79.697,53333761
-82.9464,-79.7689,53333889
-83.0066,-79.7601,53333923
-82.8764,-79.7599,53333944
-82.8586,-79.736,53333951
