long, lat, eventNumber
166.97,-78.0004,7119286
166.799,-78.0797,7133669
166.964,-78.0015,7360439
166.994,-78.004,7360579
166.885,-78.049,7360655
166.93,-78.0283,7364265
166.94,-78.0207,7519925
166.907,-78.0046,7520049
166.823,-78.0095,7712494
166.871,-78.0134,7712523
166.918,-78.0036,7712557
166.9,-78.0421,7712608
166.853,-78.0249,7712709
166.87,-78.0394,7712730
166.495,-78.0286,8017779
166.915,-78.0133,8334467
166.418,-78.0022,8531527
166.362,-78.0163,8532437
166.483,-78.0153,8533907
166.462,-78.0351,8533972
166.449,-78.0096,8534100
166.448,-78.0101,8534665
166.295,-78.007,8534699
166.479,-78.0155,8534754
166.386,-78.0009,8535842
166.19,-78.0424,8539628
166.302,-78.0274,8545533
166.522,-78.0448,8546717
166.663,-78.0006,8566444
166.284,-78.0343,8569200
166.384,-78.0069,8570703
166.156,-78.0185,8572880
168.011,-77.6626,8619078
168.042,-77.709,8620925
168.035,-77.6767,8731743
168.134,-77.6958,8732655
166.026,-78.1272,8736358
166.268,-78.0121,8740831
165.895,-78.1173,8744626
166.366,-78.0259,8767696
166.404,-78.0328,8767750
166.595,-78.0371,8767795
166.536,-78.0264,8767859
166.169,-78.0514,8768420
166.65,-78.0166,8768519
166.411,-78.0047,8768555
166.394,-78.002,8768816
166.651,-78.0497,8769228
166.492,-78.0211,8769892
166.282,-78.0739,8769935
166.562,-78.0023,8769940
166.582,-78.0059,8769959
166.47,-78.02,8771538
166.425,-78.0121,8771700
166.44,-78.0159,8772468
166.433,-78.0147,8772511
166.417,-78.012,8772570
166.095,-78.0735,8772591
166.466,-78.0211,8772628
166.307,-78.0535,8772668
166.475,-78.0255,8774707
166.501,-78.0002,8775941
166.523,-78.0045,8776104
166.452,-78.0231,8776171
166.503,-78.0009,8776182
166.445,-78.0224,8776495
166.341,-78.0078,8778807
166.409,-78.0203,8779056
166.327,-78.0365,8779119
165.984,-78.0636,8779141
166.065,-78.0781,8779150
166.653,-78.034,8779317
166.649,-78.0007,8779418
166.329,-78.0378,8779841
166.362,-78.0129,8779875
165.889,-78.0777,8781279
166.474,-78.0035,8781280
166.501,-78.0086,8781361
166.512,-78.0104,8781374
166.487,-78.0061,8781380
166.127,-78.0641,8781915
165.667,-78.1719,8782013
165.9,-78.0824,8782975
165.537,-78.1503,8782987
166.438,-78.0318,8783230
166.397,-78.025,8783991
166.259,-78.0008,8784150
166.238,-78.058,8784206
166.306,-78.0404,8784507
169.507,-77.1633,8784877
166.395,-78.0266,8785275
166.381,-78.0551,8785300
166.219,-78.0858,8785507
166.067,-78.1183,8785550
166.031,-78.0811,8785634
168.966,-77.3484,8785965
165.965,-78.1259,8786087
165.855,-78.0791,8786354
166.397,-78.0303,8787301
